CODE,NAME,MALE_POPULATION,FEMALE_POPULATION,TOTAL_POPULATION
3506220,GROGOL,22365,22030,44395
3506230,TAROKAN,28713,28058,56771
3507,MALANG,1227880,1215729,2443609
3507010,DONOMULYO,31131,30594,61725
3507020,KALIPARE,30197,30370,60567
3507030,PAGAK,22248,22980,45228
3507040,BANTUR,34126,33960,68086
3507050,GEDANGAN,26661,25264,51925
3507060,SUMBERMANJING,45767,43911,89678
3507070,DAMPIT,59298,59119,118417
3507080,TIRTO YUDO,30196,29536,59732
3507090,AMPELGADING,26607,26097,52704
3507100,PONCOKUSUMO,46321,45420,91741
3507110,WAJAK,40100,39452,79552
3507120,TUREN,56254,55517,111771
3507130,BULULAWANG,34143,34258,68401
3507140,GONDANGLEGI,40579,40722,81301
3507150,PAGELARAN,32815,32667,65482
3507160,KEPANJEN,50843,51708,102551
3507170,SUMBER PUCUNG,25439,25941,51380
3507180,KROMENGAN,18634,19239,37873
3507190,NGAJUM,23820,24239,48059
3507200,WONOSARI,19965,20799,40764
3507210,WAGIR,40566,39513,80079
3507220,PAKISAJI,41045,41267,82312
3507230,TAJINAN,25978,25925,51903
3507240,TUMPANG,37135,37254,74389
3507250,PAKIS,67697,66684,134381
3507260,JABUNG,36370,35148,71518
3507270,LAWANG,51473,51726,103199
3507280,SINGOSARI,82883,81939,164822
3507290,KARANGPLOSO,37988,37061,75049
3507300,DAU,34565,33097,67662
3507310,PUJON,33483,31834,65317
3507320,NGANTANG,28306,27604,55910
3507330,KASEMBON,15247,14884,30131
3508,LUMAJANG,490490,516073,1006563
3508010,TEMPURSARI,14181,14333,28514
3508020,PRONOJIWO ,15774,16366,32140
3508030,CANDIPURO,30618,31609,62227
3508040,PASIRIAN,41062,42772,83834
3508050,TEMPEH,38392,40474,78866
3508060,LUMAJANG,38976,41259,80235
3508061,SUMBERSUKO,16355,17487,33842
3508070,TEKUNG,15910,16535,32445
3508080,KUNIR,25069,26606,51675
3508090,YOSOWILANGUN,27513,29082,56595
3508100,ROWOKANGKUNG,16662,17477,34139
3508110,JATIROTO,22174,22952,45126
3508120,RANDUAGUNG,29649,31238,60887
3508130,SUKODONO,24555,25793,50348
3508140,PADANG,16777,17947,34724
3508150,PASRUJAMBE,17002,17816,34818
3508160,SENDURO,21129,21612,42741
3508170,GUCIALIT,11359,12079,23438
3508180,KEDUNGJAJANG,20825,22700,43525
3508190,KLAKAH,24723,26347,51070
3508200,RANUYOSO,21785,23589,45374
3509,JEMBER,1151906,1194592,2346498
3509010,KENCONG,32209,33381,65590
3509020,GUMUK MAS,39126,40599,79725
3509030,PUGER,57103,58042,115145
3509040,WULUHAN,57884,57583,115467
3509050,AMBULU,52781,52928,105709
3509060,TEMPUREJO,35576,35575,71151
3509070,SILO,51425,53069,104494
3509080,MAYANG,23743,25010,48753
3509090,MUMBULSARI,30670,32097,62767
3509100,JENGGAWAH,39978,41505,81483
3509110,AJUNG,37256,37650,74906
3509120,RAMBIPUJI,38689,40541,79230
3509130,BALUNG,38241,39087,77328
3509140,UMBULSARI,34500,35304,69804
3509150,SEMBORO,21495,22678,44173
3509160,JOMBANG,24592,25729,50321
3509170,SUMBER BARU,48581,51193,99774
3509180,TANGGUL,40357,42813,83170
3509190,BANGSALSARI,55510,59214,114724
3509200,PANTI,29202,30514,59716
3509210,SUKORAMBI,18640,19523,38163
3509220,ARJASA,18714,19604,38318
3509230,PAKUSARI,20356,21539,41895
3509240,KALISAT,36727,38575,75302
3509250,LEDOKOMBO,30671,32072,62743
3509260,SUMBERJAMBE ,29661,30991,60652
3509270,SUKOWONO,28701,30567,59268
3509280,JELBUK,15586,16608,32194
3509710,KALIWATES,54680,57834,112514
3509720,SUMBERSARI,62244,64633,126877
3509730,PATRANG,47008,48134,95142
3510,BANYUWANGI,772745,782252,1554997
3510010,PESANGGARAN,24553,23844,48397
3510011,SILIRAGUNG,22363,21734,44097
3510020,BANGOREJO,29894,29555,59449
3510030,PURWOHARJO,32404,32554,64958
3510040,TEGALDLIMO,30820,30255,61075
3510050,MUNCAR,64469,63450,127919
3510060,CLURING,34774,35284,70058
3510070,GAMBIRAN,28754,29503,58257
3510071,TEGALSARI,23144,23048,46192
3510080,GLENMORE,33926,35309,69235
3510090,KALIBARU,30361,31261,61622
3510100,GENTENG,41297,41702,82999
3510110,SRONO,43454,44054,87508
3510120,ROGOJAMPI,45650,46457,92107
3510130,KABAT,33216,33917,67133
3510140,SINGOJURUH,22064,23053,45117
3510150,SEMPU,35574,35902,71476
3510160,SONGGON,24752,25495,50247
3510170,GLAGAH,16585,17399,33984
3510171,LICIN,13874,14119,27993
3510180,BANYUWANGI,51972,54140,106112
3510190,GIRI,14408,13887,28295
3510200,KALIPURO,37727,38696,76423
3510210,WONGSOREJO,36710,37634,74344
3511,BONDOWOSO,358181,378349,736530
3511010,MAESAN,22350,23351,45701
3511020,GRUJUGAN,16867,17500,34367
3511030,TAMANAN,17476,18160,35636
3511031,JAMBESARI DARUS SHOLAH,16468,17299,33767
3511040,PUJER,18231,19351,37582
3511050,TLOGOSARI,21538,22513,44051
3511060,SUKOSARI,7205,7759,14964
3511061,SUMBER WRINGIN,16177,16816,32993
3511070,TAPEN,15846,17240,33086
3511080,WONOSARI,18688,19755,38443
3511090,TENGGARANG,19443,20094,39537
3511100,BONDOWOSO,34432,36498,70930
3511110,CURAH DAMI,15601,15797,31398
3511111,BINAKAL ,7219,7932,15151
3511120,PAKEM,10339,11159,21498
3511130,WRINGIN,19072,20368,39440
3511140,TEGALAMPEL,11784,12671,24455
3511141,TAMAN KROCOK,7810,8441,16251
3511150,KLABANG,8922,9499,18421
3511151,SEMPOL,5597,5653,11250
3511152,BOTOLINGGO,13950,14797,28747
3511160,PRAJEKAN,12073,13018,25091
3511170,CERMEE,21093,22678,43771
3512,SITUBONDO,315613,331887,647500
3512010,SUMBERMALANG,12814,13468,26282
3512020,JATIBANTENG,10529,11320,21849
3512030,BANYUGLUGUR,10901,11557,22458
3512040,BESUKI,29873,31383,61256
3512050,SUBOH,12760,13432,26192
3512060,MLANDINGAN,10834,11572,22406
3512070,BUNGATAN,11835,12576,24411
3512080,KENDIT,13692,14473,28165
3512090,PANARUKAN,26027,27011,53038
3512100,SITUBONDO,22682,23964,46646
3512110,MANGARAN,15426,16536,31962
3512120,PANJI,33088,35174,68262
3512130,KAPONGAN,17915,19070,36985
3512140,ARJASA,19480,20323,39803
3512150,JANGKAR,17712,18582,36294
3512160,ASEMBAGUS,23138,24152,47290
3512170,BANYUPUTIH,26907,27294,54201
3513,PROBOLINGGO,534262,561108,1095370
3513010,SUKAPURA,9656,9902,19558
3513020,SUMBER,12779,13370,26149
3513030,KURIPAN,14106,15065,29171
3513040,BANTARAN,19364,21275,40639
3513050,LECES,26540,27966,54506
3513060,TEGALSIWALAN,17323,18856,36179
3513070,BANYUANYAR,25175,27131,52306
3513080,TIRIS,31161,32252,63413
3513090,KRUCIL,25938,26033,51971
3513100,GADING,23162,24907,48069
3513110,PAKUNIRAN,20664,21590,42254
3513120,KOTAANYAR,17097,18061,35158
3513130,PAITON,34154,34750,68904
3513140,BESUK,22031,23651,45682
3513150,KRAKSAAN,32180,33442,65622
3513160,KREJENGAN,18400,19576,37976
3513170,PAJARAKAN ,16267,17420,33687
3513180,MARON,29867,31909,61776
3513190,GENDING,19106,19944,39050
3513200,DRINGU,25220,25571,50791
3513210,WONOMERTO,18727,19796,38523
3513220,LUMBANG,15098,15941,31039
3513230,TONGAS,30942,32588,63530
3513240,SUMBERASIH,29305,30112,59417
3514,PASURUAN,747376,762885,1510261
3514010,PURWODADI,32738,32650,65388
3514020,TUTUR,26010,25877,51887
3514030,PUSPO,13336,13903,27239
3514040,TOSARI,9132,9349,18481
3514050,LUMBANG,16126,16669,32795
3514060,PASREPAN,24364,25486,49850
3514070,KEJAYAN,30134,32415,62549
3514080,WONOREJO,27349,28999,56348
3514090,PURWOSARI,38775,39029,77804
3514100,PRIGEN,41305,40978,82283
3514110,SUKOREJO,40231,40765,80996
3514120,PANDAAN,51944,53195,105139
3514130,GEMPOL,61923,61280,123203
3514140,BEJI,38958,39232,78190
3514150,BANGIL,40971,43291,84262
3514160,REMBANG,29638,30831,60469
3514170,KRATON,44866,44103,88969
3514180,POHJENTREK,14210,14119,28329
3514190,GONDANG WETAN,25869,26711,52580
3514200,REJOSO,21790,21806,43596
3514210,WINONGAN,20452,20787,41239
3514220,GRATI,36600,37279,73879
3514230,LEKOK,33812,35934,69746
3514240,NGULING,26843,28197,55040
3515,SIDOARJO,977683,967569,1945252
3515010,TARIK,30615,30362,60977
3515020,PRAMBON,34273,34063,68336
3515030,KREMBUNG,29183,29175,58358
3515040,PORONG,33771,32138,65909
3515050,JABON,24966,25023,49989
3515060,TANGGULANGIN,42279,42301,84580
3515070,CANDI,72283,72863,145146
3515080,TULANGAN,43982,43440,87422
3515090,WONOAYU,36017,35992,72009
3515100,SUKODONO,55936,55185,111121
3515110,SIDOARJO,95885,98166,194051
3515120,BUDURAN ,46901,45433,92334
3515130,SEDATI,46805,45663,92468
3515140,WARU,116242,115056,231298
3515150,GEDANGAN,67757,65090,132847
3515160,TAMAN,107256,105601,212857
3515170,KRIAN,59899,58786,118685
3515180,BALONG BENDO,33633,33232,66865
3516,MOJOKERTO,510839,512687,1023526
3516010,JATIREJO,19943,19752,39695
3516020,GONDANG,19315,19552,38867
3516030,PACET,26477,26539,53016
3516040,TRAWAS,14150,14161,28311
3516050,NGORO,39358,40034,79392
3516060,PUNGGING,35665,35655,71320
3516070,KUTOREJO,28859,28474,57333
3516080,MOJOSARI,37102,36891,73993
3516090,BANGSAL,23267,23253,46520
3516091,MOJOANYAR,22701,23445,46146
3516100,DLANGGU,24899,25165,50064
3516110,PURI,34764,35079,69843
3516120,TROWULAN,34324,33755,68079
3516130,SOOKO,34503,34165,68668
3516140,GEDEK,26234,26487,52721
3516150,KEMLAGI,25521,26595,52116
3516160,JETIS,40365,39367,79732
3516170,DAWAR BLANDONG,23392,24318,47710
3517,JOMBANG,597224,604333,1201557
3517010,BANDAR KEDUNG MULYO,21519,21591,43110
3517020,PERAK,25159,25782,50941
3517030,GUDO,24926,25641,50567
3517040,DIWEK,51047,50256,101303
3517050,NGORO,34135,34571,68706
3517060,MOJOWARNO,42982,42618,85600
3517070,BARENG,24370,24938,49308
3517080,WONOSALAM,15476,15176,30652
3517090,MOJOAGUNG,36511,36340,72851
3517100,SUMOBITO,38550,38514,77064
3517110,JOGO ROTO,31464,31202,62666
3517120,PETERONGAN,31524,32149,63673
3517130,JOMBANG,67303,69794,137097
3517140,MEGALUH,18019,18411,36430
3517150,TEMBELANG,24520,24924,49444
3517160,KESAMBEN,29737,30259,59996
3517170,KUDU,13908,14353,28261
3517171,NGUSIKAN,10224,10519,20743
3517180,PLOSO ,19222,19433,38655
3517190,KABUH,19092,19977,39069
3517200,PLANDAAN,17536,17885,35421
3518,NGANJUK,505265,511128,1016393
3518010,SAWAHAN,17925,18147,36072
3518020,NGETOS,16954,17013,33967
3518030,BERBEK,26969,26862,53831
3518040,LOCERET,34153,34635,68788
3518050,PACE,29133,29682,58815
3518060,TANJUNGANOM,53759,54867,108626
3518070,PRAMBON,34316,34340,68656
3518080,NGRONGGOT,37744,37305,75049
3518090,KERTOSONO,25878,26528,52406
3518100,PATIANROWO,20581,20427,41008
3518110,BARON,23991,23973,47964
3518120,GONDANG,24919,24958,49877
3518130,SUKOMORO,20830,20727,41557
3518140,NGANJUK,32177,33702,65879
3518150,BAGOR,27932,28788,56720
3518160,WILANGAN,13353,13593,26946
3518170,REJOSO,32771,33278,66049
3518180,NGLUYU,6761,6927,13688
3518190,LENGKONG,15489,15645,31134
3518200,JATIKALEN,9630,9731,19361
3519,MADIUN,326380,335506,661886
3519010,KEBONSARI,25694,25417,51111
3519020,GEGER,28365,28864,57229
3519030,DOLOPO,25742,25788,51530
3519040,DAGANGAN,22609,21748,44357
3519050,WUNGU,26805,27601,54406
3519060,KARE,14784,14688,29472
3519070,GEMARANG,15261,15548,30809
3519080,SARADAN,30268,31753,62021
3519090,PILANGKENCENG,24311,25805,50116
3519100,MEJAYAN,20443,21329,41772
3519110,WONOASRI,15442,15911,31353
3519120,BALEREJO,19967,21004,40971
3519130,MADIUN,17721,19079,36800
3519140,SAWAHAN,11599,12090,23689
3519150,JIWAN,27369,28881,56250
3520,MAGETAN,301710,318436,620146
3520010,PONCOL,14167,14625,28792
3520020,PARANG,18796,19794,38590
3520030,LEMBEYAN,18060,18635,36695
3520040,TAKERAN,17341,18418,35759
3520041,NGUNTORONADI ,9400,9830,19230
3520050,KAWEDANAN,18559,20308,38867
3520060,MAGETAN,20618,22372,42990
3520061,NGARIBOYO,16491,17783,34274
3520070,PLAOSAN,23751,24177,47928
3520071,SIDOREJO,12262,12766,25028
3520080,PANEKAN,24126,24969,49095
3520090,SUKOMORO,13631,15190,28821
3520100,BENDO,18020,19927,37947
3520110,MAOSPATI,21453,22844,44297
3520120,KARANGREJO,11076,11607,22683
3520121,KARAS,18697,18352,37049
3520130,BARAT,13809,14770,28579
3520131,KARTOHARJO,11453,12069,23522
3521,NGAWI,397888,419188,817076
3521010,SINE,20061,21096,41157
3521020,NGRAMBE,18848,19791,38639
3521030,JOGOROGO,18984,19885,38869
3521040,KENDAL,21585,22710,44295
3521050,GENENG,24071,25084,49155
3521051,GERIH,15828,16277,32105
3521060,KWADUNGAN,12403,12899,25302
3521070,PANGKUR,13022,13435,26457
3521080,KARANGJATI,22831,24029,46860
3521090,BRINGIN,14952,15540,30492
3521100,PADAS,15737,16441,32178
3521101,KASREMAN,11608,11804,23412
3521110,NGAWI,39269,40477,79746
3521120,PARON,42020,44016,86036
3521130,KEDUNGGALAR,32402,33693,66095
3521140,PITU,13255,13533,26788
3521150,WIDODAREN,31415,34589,66004
3521160,MANTINGAN,16980,20899,37879
3521170,KARANGANYAR,12617,12990,25607
3522,BOJONEGORO,597585,611423,1209008
3522010,MARGOMULYO,10840,11080,21920
3522020,NGRAHO,20473,21006,41479
3522030,TAMBAKREJO,25439,25909,51348
3522040,NGAMBON,5502,5504,11006
3522041,SEKAR,12947,12770,25717
3522050,BUBULAN,6711,6979,13690
3522051,GONDANG,11888,11847,23735
3522060,TEMAYANG,16729,17180,33909
3522070,SUGIHWARAS,21169,21724,42893
3522080,KEDUNGADEM,37815,38968,76783
3522090,KEPOH BARU ,29443,30212,59655
3522100,BAURENO,36551,37055,73606
3522110,KANOR,26328,27468,53796
3522120,SUMBEREJO,32655,34066,66721
3522130,BALEN,30324,31378,61702
3522140,SUKOSEWU,19712,19826,39538
3522150,KAPAS,25080,24863,49943
3522160,BOJONEGORO,40142,42606,82748
3522170,TRUCUK,17731,17933,35664
3522180,DANDER,37749,37955,75704
3522190,NGASEM,35665,35570,71235
3522200,KALITIDU,30235,30674,60909
3522210,MALO,13725,14519,28244
3522220,PURWOSARI,13359,13622,26981
3522230,PADANGAN,19730,20573,40303
3522240,KASIMAN,13922,14303,28225
3522241,KEDEWAN,5721,5833,11554
3523,TUBAN,551869,565670,1117539
3523010,KENDURUAN,13051,13293,26344
3523020,BANGILAN,21391,22144,43535
3523030,SENORI,18753,19575,38328
3523040,SINGGAHAN,19422,19654,39076
3523050,MONTONG,25733,25202,50935
3523060,PARENGAN,25409,26112,51521
3523070,SOKO,38819,39741,78560
3523080,RENGEL,28004,28390,56394
3523081,GRABAGAN,18167,18294,36461
3523090,PLUMPANG,36835,37405,74240
3523100,WIDANG,23223,24166,47389
3523110,PALANG,37557,38887,76444
3523120,SEMANDING,49838,51733,101571
3523130,TUBAN,39958,42004,81962
3523140,JENU,24745,25330,50075
3523150,MERAKURAK,26811,27488,54299
3523160,KEREK,31740,32713,64453
3523170,TAMBAKBOYO,19175,19375,38550
3523180,JATIROGO,26041,26412,52453
3523190,BANCAR,27197,27752,54949
3524,LAMONGAN,572761,607009,1179770
3524010,SUKORAME,9885,10195,20080
3524020,BLULUK,10313,11090,21403
3524030,NGIMBANG,21567,21964,43531
3524040,SAMBENG,23702,24345,48047
3524050,MANTUP,21107,21634,42741
3524060,KEMBANGBAHU,22837,23143,45980
3524070,SUGIO ,26540,27735,54275
3524080,KEDUNGPRING,24041,26079,50120
3524090,MODO,21766,23336,45102
3524100,BABAT,37638,38870,76508
3524110,PUCUK,18784,20271,39055
3524120,SUKODADI,24650,26138,50788
3524130,LAMONGAN,32109,33260,65369
3524140,TIKUNG,20465,21046,41511
3524141,SARIREJO,11037,11353,22390
3524150,DEKET,20520,20586,41106
3524160,GLAGAH,17293,17901,35194
3524170,KARANGBINANGUN,16076,17438,33514
3524180,TURI,23335,24082,47417
3524190,KALITENGAH,14446,15780,30226
3524200,KARANG GENENG,17234,19297,36531
3524210,SEKARAN,15692,17858,33550
3524220,MADURAN,12197,14172,26369
3524230,LAREN,16848,19830,36678
3524240,SOLOKURO,18323,20989,39312
3524250,PACIRAN,44107,46880,90987
3524260,BRONDONG,30249,31737,61986
3525,GRESIK,582746,594455,1177201
3525010,WRINGINANOM,33030,32513,65543
3525020,DRIYOREJO,60348,59700,120048
3525030,KEDAMEAN,27911,27827,55738
3525040,MENGANTI,60366,59190,119556
3525050,CERME,34751,34443,69194
3525060,BENJENG,28585,28745,57330
3525070,BALONGPANGGANG,24223,24958,49181
3525080,DUDUKSAMPEYAN,21666,22240,43906
3525090,KEBOMAS,53857,52265,106122
3525100,GRESIK,37991,38351,76342
3525110,MANYAR,55675,57014,112689
3525120,BUNGAH,28489,29176,57665
3525130,SIDAYU,18832,19039,37871
3525140,DUKUN,25597,28550,54147
3525150,PANCENG,18037,21566,39603
3525160,UJUNGPANGKAH,20204,21820,42024
3525170,SANGKAPURA,21791,23963,45754
3525180,TAMBAK,11393,13095,24488
3526,BANGKALAN,432897,474358,907255
3526010,KAMAL,22269,23704,45973
3526020,LABANG,15745,17554,33299
3526030,KWANYAR,19788,22011,41799
3526040,MODUNG,20624,23030,43654
3526050,BLEGA,25422,27025,52447
3526060,KONANG ,21841,22974,44815
3526070,GALIS,34759,37849,72608
3526080,TANAH MERAH,26783,29974,56757
3526090,TRAGAH,12680,14207,26887
3526100,SOCAH,25169,27912,53081
3526110,BANGKALAN,36919,39179,76098
3526120,BURNEH,26993,28949,55942
3526130,AROSBAYA,19033,21181,40214
3526140,GEGER,28966,33661,62627
3526150,KOKOP,31626,33493,65119
3526160,TANJUNGBUMI,23184,25189,48373
3526170,SEPULU,18515,20419,38934
3526180,KLAMPIS,22581,26047,48628
3527,SAMPANG,426721,450229,876950
3527010,SRESEH,13351,15153,28504
3527020,TORJUN,17863,18260,36123
3527021,PANGARENGAN,10350,10752,21102
3527030,SAMPANG,57025,57477,114502
3527040,CAMPLONG,42649,43838,86487
3527050,OMBEN,37453,40691,78144
3527060,KEDUNGDUNG,42149,44544,86693
3527070,JRENGIK,15484,16147,31631
3527080,TAMBELANGAN,23593,24311,47904
3527090,BANYUATES,35301,38190,73491
3527100,ROBATAL,26244,26717,52961
3527101,KARANG PENANG,32794,33856,66650
3527110,KETAPANG,42658,45689,88347
3527120,SOKOBANAH,29807,34604,64411
3528,PAMEKASAN,386655,408871,795526
3528010,TLANAKAN,28845,30328,59173
3528020,PADEMAWU,36889,39172,76061
3528030,GALIS,13745,14806,28551
3528040,LARANGAN,25223,27766,52989
3528050,PAMEKASAN,43524,45166,88690
3528060,PROPPO,36546,38585,75131
3528070,PALENGAAN,43688,41648,85336
3528080,PEGANTENAN,29819,33306,63125
3528090,KADUR,21208,23346,44554
3528100,PAKONG,16021,18395,34416
3528110,WARU,28696,30716,59412
3528120,BATU MARMAR,38598,39305,77903
3528130,PASEAN,23853,26332,50185
3529,SUMENEP,495099,546816,1041915
3529010,PRAGAAN,31348,33683,65031
3529020,BLUTO,21817,23438,45255
3529030,SARONGGI ,16024,18296,34320
3529040,GILIGENTENG,12390,14093,26483
3529050,TALANGO,16944,19782,36726
3529060,KALIANGET,18914,20327,39241
3529070,KOTA SUMENEP,34072,36722,70794
3529071,BATUAN,5903,6181,12084
3529080,LENTENG,26963,29641,56604
3529090,GANDING,17016,18646,35662
3529100,GULUK GULUK,24248,26360,50608
3529110,PASONGSONGAN,20788,22403,43191
3529120,AMBUNTEN,17608,20208,37816
3529130,RUBARU,17374,19436,36810
3529140,DASUK,14109,15290,29399
3529150,MANDING,13333,14601,27934
3529160,BATUPUTIH,20159,22308,42467
3529170,GAPURA,17263,19185,36448
3529180,BATANG BATANG,24463,27269,51732
3529190,DUNGKEK,16701,19339,36040
3529200,NONGGUNONG,6148,7041,13189
3529210,GAYAM,14933,16902,31835
3529220,RAAS,17807,19303,37110
3529230,SAPEKEN,21123,22332,43455
3529240,ARJASA,27715,31986,59701
3529241,KANGAYAN,9591,10676,20267
3529250,MASALEMBU,10345,11368,21713
3571,KOTA KEDIRI,133483,133952,267435
3571010,MOJOROTO,55017,52642,107659
3571020,KOTA KEDIRI,39702,41936,81638
3571030,PESANTREN,38764,39374,78138
3572,KOTA BLITAR,65348,66670,132018
3572010,SUKOREJO,21828,22307,44135
3572020,KEPANJENKIDUL,18963,19684,38647
3572030,SANANWETAN,24557,24679,49236
3573,KOTA MALANG,403961,415747,819708
3573010,KEDUNGKANDANG,86820,87607,174427
3573020,SUKUN,90069,91201,181270
3573030,KLOJEN,50325,55698,106023
3573040,BLIMBING,85125,86845,171970
3573050,LOWOKWARU,91622,94396,186018
3574,KOTA PROBOLINGGO,106812,110155,216967
3574010,KADEMANGAN,19459,20488,39947
3574011,KEDOPOK,15196,15220,30416
3574020,WONOASIH,15642,15997,31639
3574030,MAYANGAN,29709,30703,60412
3574031,KANIGARAN,26806,27747,54553
3575,KOTA PASURUAN ,92394,93928,186322
3575010,GADINGREJO,31281,31136,62417
3575020,PURWOREJO,32956,33783,66739
3575030,BUGULKIDUL,28157,29009,57166
3576,KOTA MOJOKERTO,59032,61100,120132
3576010,PRAJURIT KULON,26142,27010,53152
3576020,MAGERSARI,32890,34090,66980
3577,KOTA MADIUN,82677,88174,170851
3577010,MANGU HARJO,24269,25025,49294
3577020,TAMAN,35014,37642,72656
3577030,KARTOHARJO,23394,25507,48901
3578,KOTA SURABAYA,1367159,1398749,2765908
3578010,KARANG PILANG,37360,35548,72908
3578020,JAMBANGAN,23017,23078,46095
3578030,GAYUNGAN,20369,22565,42934
3578040,WONOCOLO,38937,40311,79248
3578050,TENGGILIS MEJOYO,36591,35685,72276
3578060,GUNUNG ANYAR,30830,30883,61713
3578070,RUNGKUT,59176,61215,120391
3578080,SUKOLILO,59630,60110,119740
3578090,MULYOREJO,44901,49669,94570
3578100,GUBENG,60820,67001,127821
3578110,WONOKROMO,65141,69060,134201
3578120,DUKUH PAKIS,31376,32953,64329
3578130,WIYUNG,33099,34955,68054
3578140,LAKARSANTRI,24792,26384,51176
3578141,SAMBIKEREP,30118,31005,61123
3578150,TANDES,51672,50770,102442
3578160,SUKO MANUNGGAL,50153,51731,101884
3578170,SAWAHAN,84428,87857,172285
3578180,TEGALSARI,41763,43725,85488
3578190,GENTENG,22359,23711,46070
3578200,TAMBAKSARI,101742,103639,205381
3578210,KENJERAN,83537,80993,164530
3578211,BULAK,18789,18736,37525
3578220,SIMOKERTO,38797,40382,79179
3578230,SEMAMPIR,76498,74908,151406
3578240,PABEAN CANTIAN,35044,34468,69512
3578250,BUBUTAN,41599,42756,84355
3578260,KREMBANGAN,52858,53651,106509
3578270,ASEMROWO,21782,20822,42604
3578280,BENOWO,26799,27279,54078
3578281,PAKAL,23182,22899,46081
3579,KOTA BATU ,95535,94258,189793
3579010,BATU,43842,43949,87791
3579020,JUNREJO,23759,22749,46508
3579030,BUMIAJI,27934,27560,55494
3600,BANTEN,5440783,5203247,10644030
3601,PANDEGLANG,586869,558923,1145792
3601010,SUMUR,11531,11151,22682
3601020,CIMANGGU,18547,18093,36640
3601030,CIBALIUNG,14899,13895,28794
3601031,CIBITUNG,10837,10330,21167
3601040,CIKEUSIK,26225,24852,51077
3601050,CIGEULIS,17360,16465,33825
3601060,PANIMBANG,25056,23828,48884
3601061,SOBANG,17687,17338,35025
3601070,MUNJUL,11328,10796,22124
3601071,ANGSANA,13224,12336,25560
3601072,SINDANGRESMI,10787,10554,21341
3601080,PICUNG,17822,17291,35113
3601090,BOJONG,17201,16488,33689
3601100,SAKETI,21773,21161,42934
3601101,CISATA,11860,11476,23336
3601110,PAGELARAN,17391,16509,33900
3601111,PATIA,13874,13406,27280
3601112,SUKARESMI,17402,16367,33769
3601120,LABUAN,27973,25866,53839
3601121,CARITA,16489,15523,32012
3601130,JIPUT ,14423,13968,28391
3601131,CIKEDAL,15377,15058,30435
3601140,MENES,17907,17415,35322
3601141,PULOSARI,14103,13411,27514
3601150,MANDALAWANGI,23550,22710,46260
3601160,CIMANUK,19537,18663,38200
3601161,CIPEUCANG,14383,13493,27876
3601170,BANJAR,15099,14671,29770
3601171,KADUHEJO,17617,16910,34527
3601172,MEKARJAYA,9514,9390,18904
3601180,PANDEGLANG,20592,19054,39646
3601181,MAJASARI,22968,21619,44587
3601190,CADASARI,16443,14881,31324
3601191,KARANGTANJUNG,16860,15467,32327
3601192,KORONCONG,9230,8488,17718
3602,LEBAK,618636,585044,1203680
3602010,MALINGPING,31512,29958,61470
3602011,WANASALAM,26351,24810,51161
3602020,PANGGARANGAN,17832,17081,34913
3602021,CIHARA,15127,14298,29425
3602030,BAYAH,20740,19994,40734
3602031,CILOGRANG,16514,15368,31882
3602040,CIBEBER,27757,26296,54053
3602050,CIJAKU,13658,13226,26884
3602051,CIGEMBLONG,10004,9538,19542
3602060,BANJARSARI,29559,27736,57295
3602070,CILELES,23786,22841,46627
3602080,GUNUNG KENCANA,16974,15823,32797
3602090,BOJONGMANIK,10880,10363,21243
3602091,CIRINTEN,13091,11796,24887
3602100,LEUWIDAMAR,25955,24600,50555
3602110,MUNCANG,16077,15398,31475
3602111,SOBANG,14546,13791,28337
3602120,CIPANAS,23232,22203,45435
3602121,LEBAKGEDONG,11234,10297,21531
3602130,SAJIRA,23761,22409,46170
3602140,CIMARGA,30809,29998,60807
3602150,CIKULUR,23648,22984,46632
3602160,WARUNGGUNUNG,26972,25363,52335
3602170,CIBADAK,29880,28154,58034
3602180,RANGKASBITUNG,60180,56741,116921
3602181,KALANGANYAR,16627,15368,31995
3602190,MAJA,26260,24160,50420
3602191,CURUGBITUNG,15670,14450,30120
3603,TANGERANG,1454886,1383706,2838592
3603010,CISOKA ,40766,37802,78568
3603011,SOLEAR,37714,36039,73753
3603020,TIGARAKSA,60552,58122,118674
3603021,JAMBE,20641,19453,40094
3603030,CIKUPA,116387,108859,225246
3603040,PANONGAN,49151,47303,96454
3603050,CURUG,85712,80641,166353
3603051,KELAPA DUA,90645,91966,182611
3603060,LEGOK,50636,47019,97655
3603070,PAGEDANGAN,48923,46541,95464
3603081,CISAUK,32925,31203,64128
3603120,PASARKEMIS,120207,116517,236724
3603121,SINDANG JAYA,39183,37688,76871
3603130,BALARAJA,57814,53474,111288
3603131,JAYANTI,32273,31060,63333
3603132,SUKAMULYA,30387,29034,59421
3603140,KRESEK,30778,29731,60509
3603141,GUNUNG KALER,24085,23951,48036
3603150,KRONJO,28262,26768,55030
3603151,MEKAR BARU,18069,16943,35012
3603160,MAUK,39411,37895,77306
3603161,KEMIRI,21021,19363,40384
3603162,SUKADIRI,27829,25719,53548
3603170,RAJEG,68496,65202,133698
3603180,SEPATAN,47918,44528,92446
3603181,SEPATAN TIMUR,42362,40089,82451
3603190,PAKUHAJI,53169,50152,103321
3603200,TELUKNAGA,70909,67558,138467
3603210,KOSAMBI,68661,63086,131747
3604,SERANG,713518,689739,1403257
3604010,CINANGKA,27768,25536,53304
3604020,PADARINCANG,31634,29793,61427
